date,daily-atr,close,spike,doji,spike-doji,doji-v,spike-v,spike-doji-v,long,short
2024-09-04T08:59:00Z,,1.10517,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:00:00Z,,1.10521,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T09:01:00Z,,1.10537,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:02:00Z,,1.1053,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:03:00Z,,1.10527,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:04:00Z,,1.1052,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:05:00Z,,1.10505,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T09:06:00Z,,1.10521,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:07:00Z,,1.10518,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:08:00Z,,1.10509,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T09:09:00Z,,1.10525,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:10:00Z,,1.10536,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:11:00Z,,1.10537,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T09:12:00Z,,1.10532,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:13:00Z,,1.10522,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:14:00Z,,1.10531,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:15:00Z,,1.10526,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:16:00Z,,1.10522,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:17:00Z,,1.10527,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:18:00Z,,1.10527,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T09:19:00Z,,1.10531,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:20:00Z,,1.10539,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:21:00Z,,1.10537,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:22:00Z,,1.10539,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T09:23:00Z,,1.10553,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:24:00Z,,1.10548,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:25:00Z,,1.10549,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T09:26:00Z,,1.10542,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:27:00Z,,1.1054,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:28:00Z,,1.10551,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:29:00Z,,1.10538,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:30:00Z,,1.10538,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T09:31:00Z,,1.1054,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T09:32:00Z,,1.10551,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:33:00Z,,1.10557,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:34:00Z,,1.10553,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:35:00Z,,1.10566,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:36:00Z,,1.10579,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:37:00Z,,1.10561,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:38:00Z,,1.10567,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:39:00Z,,1.10564,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:40:00Z,,1.10565,flat,long,flat,1.0,0.0,0.0,,
